sentence_id,sentence,aspect,from,to,polarity
2016_0001,"Judging from previous posts this used to be a good place, but not any longer.",place,51,56,negative
2016_0002,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,75,80,negative
2016_0003,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",[ASPECT],0,0,negative
2016_0004,The food was lousy - too sweet or too salty and the portions tiny.,food,4,8,negative
2016_0004,The food was lousy - too sweet or too salty and the portions tiny.,portions,52,60,negative
2016_0005,"After all that, they complained to me about the small tip.",[ASPECT],0,0,negative
2016_0006,Avoid this place!,place,11,16,negative
2016_0007,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,38,42,positive
2016_0008,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,0,4,positive
2016_0009,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,42,69,positive
2016_0009,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,4,15,positive
2016_0010,The wine list is interesting and has many good values.,wine list,4,13,positive
2016_0010,The wine list is interesting and has many good values.,wine list,4,13,positive
2016_0011,"For the price, you cannot eat this well in Manhattan.",[ASPECT],0,0,positive
2016_0011,"For the price, you cannot eat this well in Manhattan.",[ASPECT],0,0,positive
2016_0012,I was very disappointed with this restaurant.,restaurant,34,44,negative
2016_0013,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,12,26,negative
2016_0014,I had to ask her three times before she finally came back with the dish Ive requested.,[ASPECT],0,0,negative
2016_0015,"Food was okay, nothing great.",Food,0,4,neutral
2016_0016,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,Chow fun,0,8,negative
2016_0016,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,pork shu mai,18,30,negative
2016_0016,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,[ASPECT],0,0,negative
2016_0017,I/we will never go back to this place again.,place,32,37,negative
2016_0018,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,35,39,positive
2016_0019,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,0,7,positive
2016_0019,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,20,27,positive
2016_0019,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",[ASPECT],0,0,positive
2016_0020,You can't go wrong here.,[ASPECT],0,0,positive
2016_0021,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,50,65,positive
2016_0022,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",[ASPECT],0,0,positive
2016_0022,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,47,54,positive
2016_0022,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,73,78,positive
2016_0023,I had the duck breast special on my last visit and it was incredible.,duck breast special,10,29,positive
2016_0024,Can't wait wait for my next visit.,[ASPECT],0,0,positive
2016_0026,And I hate to say this but I doubt I'll ever go back.,[ASPECT],0,0,negative
2016_0027,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,4,8,negative
2016_0027,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,31,48,negative
2016_0027,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",[ASPECT],0,0,negative
2016_0028,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,46,88,positive
2016_0029,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,16,30,positive
2016_0029,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,16,30,positive
2016_0031,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,142,147,negative
2016_0031,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,4,9,positive
2016_0031,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,60,64,negative
2016_0034,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,6,15,positive
2016_0034,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",[ASPECT],0,0,positive
2016_0035,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,4,19,positive
2016_0035,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,47,66,positive
2016_0036,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,74,81,positive
2016_0037,we love th pink pony.,pink pony,11,20,positive
2016_0038,THe perfect spot.,spot,12,16,positive
2016_0039,Food-awesome.,Food,0,4,positive
2016_0040,Service- friendly and attentive.,Service,0,7,positive
